identificador,nome,diretor,ano,sinopse
1,Quem Quer Ser um Milionario?,Danny Boyle,2009, ""Um jovem indiano orfao participa de um programa de TV e surpreende a todos com seu conhecimento, enquanto revela sua dura trajetoria de vida.""
2,Coracao Valente,Mel Gibson,1995, ""A luta de William Wallace pela independencia da Escocia contra a Inglaterra.""
3,12 Anos de Escravidao,Steve McQueen,2014, ""Um homem negro livre e sequestrado e vendido como escravo nos EUA do seculo XIX, lutando por sua liberdade e dignidade.""
4,Titanic,James Cameron,1998, ""Romance tragico entre uma jovem da alta sociedade e um artista pobre a bordo do infame navio Titanic.""
5,Kramer vs. Kramer,Robert Benton,1979, ""A batalha pela custodia de um filho entre um pai e uma mae apos o divorcio.""
6,Shakespeare Apaixonado,John Madden,1998, ""A ficcao sobre o jovem William Shakespeare e sua inspiracao para escrever 'Romeu e Julieta'.""
7,Os Infiltrados,Martin Scorsese,2006, ""Um policial disfarcado tenta desmantelar uma mafia irlandesa enquanto um informante infiltrado na policia trabalha contra ele.""
8,Entre Dois Amores,Sydney Pollack,1985, ""Uma mulher rica vive um romance com um aventureiro no Quenia durante o periodo colonial.""
9,Guerra ao Terror,Kathryn Bigelow,2009, ""Um esquadrao de desarmamento de bombas no Iraque enfrenta perigos diarios e tensoes psicologicas.""
10,Gandhi,Richard Attenborough,1982, ""A vida de Mahatma Gandhi e sua luta pela independencia da India atraves da desobediencia civil.""
11,Os Imperdoaveis,Clint Eastwood,1992, ""Um ex-assassino retorna ao oficio para cacar dois homens que atacaram uma prostituta.""
12,O Discurso do Rei,Tom Hooper,2011, ""O rei George VI luta contra a gagueira com a ajuda de um terapeuta excentrico, enquanto assume o trono e inspira o pais na Segunda Guerra Mundial.""
13,Uma Mente Brilhante,Ron Howard,2001, ""A vida do matematico John Nash, que luta contra a esquizofrenia enquanto faz descobertas revolucionarias.""
14,A Forma da Agua,Guillermo del Toro,2017, ""Uma mulher muda desenvolve uma relacao com uma criatura aquatica mantida em cativeiro durante a Guerra Fria.""
15,O Senhor dos Aneis: O Retorno do Rei,Peter Jackson,2004, ""A jornada epica para destruir o Um Anel chega ao climax enquanto a Terra Media enfrenta sua batalha final contra Sauron.""
16,Asas,William A. Wellman,1927, ""Dois amigos pilotos se apaixonam pela mesma mulher durante a Primeira Guerra Mundial.""
17,Beleza Americana,Sam Mendes,1999, ""A crise de meia-idade de um homem suburbano e sua obsessao por sua filha adolescente.""
18,Birdman ou (A Inesperada Virtude da Ignorancia),Alejandro G. Inarritu,2015, ""Um ator em decadencia, famoso por interpretar um super-heroi, tenta recuperar sua carreira montando uma peca na Broadway.""
19,Carruagens de Fogo,Hugh Hudson,1981, ""A jornada de dois corredores britanicos que competem nas Olimpiadas de 1924.""
20,Moonlight: Sob a Luz do Luar,Barry Jenkins,2017, ""A vida de um jovem negro em Miami e retratada em tres fases, explorando sua identidade, sexualidade e lutas internas.""
21,Danca com Lobos,Kevin Costner,1990, ""Um oficial do exercito dos EUA forma um vinculo com uma tribo nativa americana durante a Guerra Civil.""
22,O Ultimo Imperador,Bernardo Bertolucci,1987, ""A vida do ultimo imperador da China, desde sua infancia no trono ate sua reeducacao apos a revolucao.""
23,Golpe de Mestre,George Roy Hill,1973, ""Dois vigaristas elaboram um plano para enganar um mafioso nos anos 30.""
24,Menina de Ouro,Clint Eastwood,2004, ""Uma treinadora de boxe treina uma mulher para se tornar campea, enfrentando desafios pessoais e profissionais.""
25,Spotlight Segredos Revelados,Tom McCarthy,2016, ""Jornalistas investigam abusos sexuais sistematicos dentro da Igreja Catolica em Boston, revelando um escandalo global.""
26,Annie Hall,Woody Allen,1977, ""A relacao entre um comediante e uma cantora e explorada de forma nao linear e introspectiva.""
27,O Paciente Ingles,Anthony Minghella,1996, ""Um romance ambientado na Segunda Guerra Mundial, envolvendo um paciente queimado e sua enfermeira.""
28,O Franco Atirador,Michael Cimino,1978, ""A amizade entre tres operarios e colocada a prova durante a Guerra do Vietna.""
29,Green Book – O Guia,Peter Farrelly,2019, ""Um pianista negro e seu motorista branco enfrentam o racismo no sul dos EUA durante uma turne nos anos 1960, construindo uma improvavel amizade.""
30,Gladiador,Ridley Scott,2001, ""Um general romano e traido, se torna escravo e busca vinganca como gladiador contra o imperador que destruiu sua familia.""
31,Oppenheimer,Christopher Nolan,2023, ""A historia de J. Robert Oppenheimer e o desenvolvimento da primeira bomba atomica.""
32,O Silencio dos Inocentes,Jonathan Demme,1991, ""Uma jovem agente do FBI busca a ajuda de um psicopata encarcerado para capturar outro assassino.""
33,Argo,Ben Affleck,2012, ""Durante a crise dos refens no Ira, um agente da CIA organiza uma operacao para resgatar seis diplomatas americanos.""
34,Tudo em Todo Lugar ao Mesmo Tempo,Daniel Kwan e Daniel Scheinert,2022, ""Uma dona de lavanderia chinesa e puxada para uma aventura multiversal onde deve salvar a realidade.""
35,Nomadland,Chloe Zhao,2021, ""Uma mulher, apos perder seu emprego, se torna uma nomade moderna, viajando pelos EUA em sua van.""
36,Rocky – Um Lutador,John G. Avildsen,1976, ""Um boxeador de rua tem a chance de lutar pelo titulo mundial contra o campeao Apollo Creed.""
37,Gente como a Gente,Robert Redford,1980, ""A historia de uma familia lidando com a morte de um filho e as tensoes resultantes.""
38,Lawrence da Arabia,David Lean,1962, ""A historia do oficial britanico T.E. Lawrence, que unificou tribos arabes na Primeira Guerra Mundial.""
39,Rain Man,Barry Levinson,1988, ""Um homem descobre que tem um irmao autista e embarca em uma jornada de autoconhecimento.""
40,Ben-Hur,William Wyler,1959, ""Um principe judeu busca vinganca contra os romanos que o trairam, em uma saga epica.""
41,O Artista,Michel Hazanavicius,2012, ""Um astro do cinema mudo enfrenta o declinio de sua carreira com a chegada do cinema falado, em uma homenagem nostalgica a Hollywood.""
42,Parasita,Bong Joon-ho,2020, ""Uma familia pobre coreana se infiltra na vida de uma familia rica, revelando tensoes sociais e segredos obscuros em uma critica feroz a desigualdade.""
43,A Lista de Schindler,Steven Spielberg,1993, ""A historia real de um empresario que salvou centenas de judeus durante o Holocausto.""
44,Amadeus,Milos Forman,1984, ""A vida de Mozart contada por seu rival Antonio Salieri.""
45,Chicago,Rob Marshall,2003, ""Duas assassinas na decada de 1920 buscam fama e liberdade em meio a julgamentos espetaculares e numeros musicais deslumbrantes.""
46,Platoon,Oliver Stone,1986, ""Um jovem soldado enfrenta os horrores da Guerra do Vietna e a divisao moral em sua unidade.""
47,Casablanca,Michael Curtiz,1943, ""Durante a Segunda Guerra, um expatriado americano ajuda uma ex-amante e seu marido a fugir dos nazistas.""
48,Onde os Fracos Nao Tem Vez,Joel e Ethan Coen,2007, ""Um cacador encontra dinheiro de um trafico de drogas e se torna alvo de um assassino implacavel.""
49,Oliver!,Carol Reed,1968, ""Adaptacao musical do romance de Charles Dickens sobre um orfao na Londres vitoriana.""
50,Lacos de Ternura,James L. Brooks,1983, ""A relacao entre mae e filha ao longo de 30 anos, enfrentando alegrias e tristezas.""
51,Amor Sublime Amor,Robert Wise e Jerome Robbins,1961, ""Dois jovens de gangues rivais se apaixonam, desafiando o odio que os cerca.""
52,Rebecca a Mulher Inesquecivel,Alfred Hitchcock,1940, ""Uma jovem esposa lida com a sombra da falecida esposa de seu marido em uma mansao misteriosa.""
